"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1990","1990","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,438056.76,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1991","1991","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,438049.29,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1992","1992","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,441752.18,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1993","1993","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,442282.48,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1994","1994","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,442610.56,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1995","1995","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,451076.46,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1996","1996","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,457574.99,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1997","1997","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,469835.69,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1998","1998","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,484037.12,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1999","1999","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,489971.16,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2000","2000","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,501588.99,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2001","2001","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,509456.08,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2002","2002","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,513171.01,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2003","2003","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,511714.21,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2004","2004","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,528827.43,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2005","2005","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,535589.76,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2006","2006","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,540017.78,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2007","2007","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,546739.52,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2008","2008","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,549128.82,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2009","2009","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,552127.35,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2010","2010","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,547172.76,,
"AUS","Australia","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2011","2011","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,549007.35,,
