"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","W","Women","TOTAL","Total","1980","1980",7357296,,
"AUS","Australia","W","Women","TOTAL","Total","1981","1981",7474993,,
"AUS","Australia","W","Women","TOTAL","Total","1982","1982",7603333,,
"AUS","Australia","W","Women","TOTAL","Total","1983","1983",7707126,,
"AUS","Australia","W","Women","TOTAL","Total","1984","1984",7801179,,
"AUS","Australia","W","Women","TOTAL","Total","1985","1985",7905584,,
"AUS","Australia","W","Women","TOTAL","Total","1986","1986",8018163,,
"AUS","Australia","W","Women","TOTAL","Total","1987","1987",8145619,,
"AUS","Australia","W","Women","TOTAL","Total","1988","1988",8283219,,
"AUS","Australia","W","Women","TOTAL","Total","1989","1989",8426827,,
"AUS","Australia","W","Women","TOTAL","Total","1990","1990",8553859,,
"AUS","Australia","W","Women","TOTAL","Total","1991","1991",8668627,,
"AUS","Australia","W","Women","TOTAL","Total","1992","1992",8770379,,
"AUS","Australia","W","Women","TOTAL","Total","1993","1993",8852828,,
"AUS","Australia","W","Women","TOTAL","Total","1994","1994",8941791,,
"AUS","Australia","W","Women","TOTAL","Total","1995","1995",9044452,,
"AUS","Australia","W","Women","TOTAL","Total","1996","1996",9159443,,
"AUS","Australia","W","Women","TOTAL","Total","1997","1997",9266860,,
"AUS","Australia","W","Women","TOTAL","Total","1998","1998",9364441,,
"AUS","Australia","W","Women","TOTAL","Total","1999","1999",9472155,,
"AUS","Australia","W","Women","TOTAL","Total","2000","2000",9585337,,
"AUS","Australia","W","Women","TOTAL","Total","2001","2001",9712875,,
"AUS","Australia","W","Women","TOTAL","Total","2002","2002",9819727,,
"AUS","Australia","W","Women","TOTAL","Total","2003","2003",9933140,,
"AUS","Australia","W","Women","TOTAL","Total","2004","2004",10036771,,
"AUS","Australia","W","Women","TOTAL","Total","2005","2005",10157211,,
"AUS","Australia","W","Women","TOTAL","Total","2006","2006",10291542,,
"AUS","Australia","W","Women","TOTAL","Total","2007","2007",10473986,,
"AUS","Australia","W","Women","TOTAL","Total","2008","2008",10677154,,
"AUS","Australia","W","Women","TOTAL","Total","2009","2009",10890856,,
"AUS","Australia","W","Women","TOTAL","Total","2010","2010",11063919,,
"AUS","Australia","W","Women","TOTAL","Total","2011","2011",11221790,,
"AUS","Australia","W","Women","TOTAL","Total","2012","2012",11420486,,
"AUS","Australia","W","Women","TOTAL","Total","2013","2013",11621964,,
"AUS","Australia","W","Women","TOTAL","Total","2014","2014",11807800,,
"AUS","Australia","W","Women","TOTAL","Total","2015","2015",11988343,,
"AUS","Australia","W","Women","TOTAL","Total","2016","2016",12187868,,
"AUS","Australia","W","Women","TOTAL","Total","2017","2017",12389986,,
"AUS","Australia","W","Women","TOTAL","Total","2018","2018",12575105,,
"AUS","Australia","W","Women","TOTAL","Total","2019","2019",12760899,,
"AUS","Australia","W","Women","TOTAL","Total","2020","2020",12924522,,
"AUS","Australia","W","Women","TOTAL","Total","2021","2021",12938497,,
"AUS","Australia","W","Women","TOTAL","Total","2022","2022",13086705,,
"AUS","Australia","M","Men","TOTAL","Total","1980","1980",7338060,,
"AUS","Australia","M","Men","TOTAL","Total","1981","1981",7448267,,
"AUS","Australia","M","Men","TOTAL","Total","1982","1982",7580914,,
"AUS","Australia","M","Men","TOTAL","Total","1983","1983",7686346,,
"AUS","Australia","M","Men","TOTAL","Total","1984","1984",7778212,,
"AUS","Australia","M","Men","TOTAL","Total","1985","1985",7882728,,
"AUS","Australia","M","Men","TOTAL","Total","1986","1986",8000187,,
"AUS","Australia","M","Men","TOTAL","Total","1987","1987",8118255,,
"AUS","Australia","M","Men","TOTAL","Total","1988","1988",8248945,,
"AUS","Australia","M","Men","TOTAL","Total","1989","1989",8387589,,
"AUS","Australia","M","Men","TOTAL","Total","1990","1990",8511269,,
"AUS","Australia","M","Men","TOTAL","Total","1991","1991",8615409,,
"AUS","Australia","M","Men","TOTAL","Total","1992","1992",8708256,,
"AUS","Australia","M","Men","TOTAL","Total","1993","1993",8781980,,
"AUS","Australia","M","Men","TOTAL","Total","1994","1994",8863677,,
