Seed,SC Score,RMSPE
92045,-0.42,0.55
69041,0.42,0.5
50673,-0.33,0.43
61045,0.17,0.53
60604,0.28,0.55
19538,-0.08,0.55
66487,0.23,0.43
15462,0.08,0.74
46685,-0.33,0.49
5281,-0.08,0.55
28513,-0.17,0.48
10255,0.15,0.44
62944,-0.08,0.61
62935,-0.5,0.55
9737,0.42,0.46
73827,-0.33,0.52
83928,-0.42,0.5
30474,-0.08,0.46
18731,-0.25,0.43
61200,0.5,0.55
55261,-0.08,0.48
66546,-0.33,0.47
6881,0.15,0.5
22997,-0.08,0.39
19011,0.42,0.54
71097,0.17,0.69
99325,0.21,0.58
7354,-0.08,0.55
86427,-0.42,0.49
66694,-0.08,0.63
70926,0.0,0.49
33918,0.75,0.6
13164,0.17,0.57
5090,-0.08,0.46
55323,0.17,0.66
31920,-0.42,0.53
47219,-0.08,0.45
88003,0.75,0.61
69843,0.08,0.57
66102,0.19,0.58
45838,0.08,0.51
91397,-0.67,0.69
20984,-0.42,0.47
89549,-0.08,0.59
64055,0.19,0.58
11724,-0.08,0.59
62641,-0.67,0.58
88189,-0.41,0.54
49323,-0.0,0.53
59928,0.25,0.52
77439,0.25,0.65
46984,0.17,0.56
59911,0.08,0.5
62126,-0.33,0.49
70613,-0.17,0.54
93821,-0.08,0.45
39172,-0.08,0.56
12091,0.17,0.5
43079,0.42,0.48
95088,0.08,0.49
8130,0.33,0.55
40062,0.25,0.48
34217,0.17,0.53
36451,-0.17,0.59
21572,-0.42,0.49
12505,-0.08,0.54
15240,0.25,0.55
48612,0.25,0.72
79023,-0.08,0.51
35955,0.0,0.6
79051,-0.17,0.54
40589,0.23,0.53
11818,0.0,0.65
77219,0.08,0.54
81257,0.17,0.55
71693,-0.17,0.5
63395,-0.08,0.44
62260,-0.17,0.5
41603,-0.33,0.54
17114,0.18,0.58
82914,-0.08,0.46
58409,0.5,0.54
30569,-0.27,0.48
67918,0.17,0.55
26144,0.25,0.52
55316,-0.33,0.56
2517,0.17,0.55
38165,0.42,0.52
75965,-0.0,0.54
73023,-0.42,0.57
18783,0.17,0.54
40996,0.58,0.6
3070,-0.33,0.54
10037,-0.25,0.48
45248,0.08,0.54
61083,0.5,0.47
66679,-0.67,0.5
52811,-0.08,0.55
84518,0.18,0.58
56187,0.25,0.49
