mktrf,smb,hml,rmw,cma,rf,umd,dateff
-0.003900,-0.004800,-0.008100,0.006400,-0.011500,0.00270,0.010100,1963-07-31
0.050800,-0.008000,0.017000,0.004000,-0.003800,0.00250,0.010000,1963-08-30
-0.015700,-0.004300,0.000000,-0.007800,0.001500,0.00270,0.001200,1963-09-30
0.025400,-0.013400,-0.000400,0.027900,-0.022500,0.00290,0.031300,1963-10-31
-0.008600,-0.008500,0.017300,-0.004300,0.022700,0.00270,-0.007800,1963-11-29
0.018300,-0.018900,-0.002100,0.001200,-0.002500,0.00290,0.018400,1963-12-31
0.022700,0.001000,0.016300,0.002100,0.014800,0.00300,0.010200,1964-01-31
0.015500,0.003300,0.028100,0.001100,0.008100,0.00260,0.003300,1964-02-28
0.014100,0.014100,0.032900,-0.020300,0.029800,0.00310,0.006900,1964-03-31
0.001100,-0.014800,-0.005400,-0.013200,-0.011300,0.00290,-0.006400,1964-04-30
0.014100,-0.006200,0.018100,-0.001500,0.001300,0.00260,0.025300,1964-05-28
0.012700,0.001300,0.006800,-0.003300,0.001000,0.00300,0.004700,1964-06-30
0.017400,0.005000,0.007900,0.001500,0.018500,0.00300,-0.003800,1964-07-31
-0.014400,0.002900,0.000700,0.001500,0.003100,0.00280,-0.002500,1964-08-31
0.026900,-0.003400,0.017200,-0.005000,0.005600,0.00280,-0.003900,1964-09-30
0.006000,0.009000,0.010800,-0.002000,0.005200,0.00290,0.001900,1964-10-30
-0.000100,-0.002400,-0.020400,0.007100,-0.001600,0.00290,0.011000,1964-11-30
0.000400,-0.006500,-0.024300,0.009500,-0.015500,0.00310,-0.006900,1964-12-31
0.035400,0.025000,0.003600,0.009400,-0.000200,0.00280,-0.013800,1965-01-29
0.004400,0.032400,0.002200,0.002600,-0.006200,0.00300,0.002400,1965-02-26
-0.013400,0.020800,0.011500,-0.002900,0.006500,0.00360,0.001700,1965-03-31
0.031100,0.011400,0.007300,0.002900,-0.022700,0.00310,0.025300,1965-04-30
-0.007800,0.000500,-0.015500,-0.004200,0.005900,0.00310,0.005500,1965-05-28
-0.055100,-0.042000,0.002300,0.002400,0.004300,0.00350,-0.031800,1965-06-30
0.014400,0.011000,0.021900,-0.014100,-0.000800,0.00310,0.040900,1965-07-30
0.027300,0.027700,-0.009800,0.020300,-0.008100,0.00330,0.025800,1965-08-31
0.028600,0.007000,-0.001400,-0.008500,0.007300,0.00310,0.032900,1965-09-30
0.026000,0.034500,0.015500,0.011900,-0.007600,0.00310,0.034500,1965-10-29
-0.000200,0.052200,0.001600,-0.010800,-0.008700,0.00350,0.044000,1965-11-30
0.010100,0.026200,0.021500,-0.013000,-0.005500,0.00330,-0.001000,1965-12-31
0.007200,0.048500,0.032700,-0.026500,-0.002600,0.00380,0.052800,1966-01-31
-0.012100,0.047900,0.003800,-0.001600,-0.014500,0.00350,0.045800,1966-02-28
-0.025100,0.002100,-0.021300,0.012900,-0.000500,0.00380,0.014700,1966-03-31
0.021300,0.033300,-0.003600,0.004200,-0.009200,0.00340,0.058800,1966-04-29
-0.056700,-0.051100,-0.016000,0.016400,-0.014800,0.00410,-0.047100,1966-05-31
-0.014400,0.013200,0.004900,0.000800,0.007900,0.00380,0.032300,1966-06-30
-0.016300,-0.003800,0.009100,-0.003800,0.017400,0.00350,-0.013000,1966-07-29
-0.079400,-0.031500,0.005000,-0.006400,0.007700,0.00410,-0.022100,1966-08-31
-0.010600,-0.010200,0.004800,-0.011900,0.023500,0.00400,-0.018600,1966-09-30
0.038600,-0.064800,0.027400,-0.039100,0.042300,0.00450,-0.052000,1966-10-31
0.013800,0.033400,-0.046300,0.046600,-0.065100,0.00400,0.057300,1966-11-30
0.001300,0.018800,-0.009500,0.001700,-0.001600,0.00400,0.009900,1966-12-30
0.081500,0.089800,0.023600,0.012900,-0.030600,0.00430,-0.070000,1967-01-31
0.007700,0.030100,-0.022600,0.016600,-0.009300,0.00360,0.035100,1967-02-28
0.040000,0.017700,0.004700,0.008200,-0.015000,0.00390,0.013900,1967-03-31
0.038900,0.004300,-0.022900,0.030900,-0.037200,0.00320,0.005200,1967-04-28
-0.043200,0.024500,0.008000,-0.011900,0.016200,0.00330,0.006600,1967-05-31
0.024200,0.064200,0.008000,-0.008400,-0.024900,0.00270,0.060100,1967-06-30
0.045800,0.035800,0.027500,0.004500,0.026600,0.00320,-0.011000,1967-07-31
-0.009000,0.007700,0.014300,0.003000,0.013500,0.00310,-0.013200,1967-08-31
0.031100,0.024300,-0.024700,0.002200,-0.009300,0.00320,0.023900,1967-09-29
-0.030800,0.005700,-0.032900,0.009700,-0.027400,0.00390,0.036800,1967-10-31
0.003700,-0.000600,-0.017100,0.013100,-0.022800,0.00360,0.012200,1967-11-30
0.030500,0.055900,-0.005400,-0.007400,-0.000300,0.00330,0.032000,1967-12-29
-0.040300,0.046800,0.048500,-0.048900,0.064600,0.00400,-0.044600,1968-01-31
-0.037400,-0.029200,0.012300,-0.000800,0.024600,0.00390,-0.033400,1968-02-29
0.002100,-0.015500,-0.006300,0.010700,-0.011500,0.00380,0.031900,1968-03-29
0.090100,0.061700,-0.011000,0.027900,-0.037300,0.00430,0.051100,1968-04-30
0.022800,0.069700,0.008200,0.004900,-0.019200,0.00450,0.037500,1968-05-31
0.007000,-0.003300,0.006600,-0.015600,0.028000,0.00430,-0.020900,1968-06-28
-0.026900,-0.013900,0.053100,-0.031800,0.037900,0.00480,-0.008900,1968-07-30
0.013500,0.023300,0.009900,-0.006600,0.004700,0.00420,0.019000,1968-08-30
0.040500,0.028100,0.003000,-0.019400,0.008700,0.00430,-0.006400,1968-09-30
0.004400,-0.004300,0.028200,-0.013600,0.028400,0.00440,-0.014600,1968-10-31
0.054200,0.023900,-0.009600,0.004400,-0.025100,0.00420,0.017400,1968-11-29
-0.039300,0.035500,0.000400,-0.019100,0.019300,0.00430,0.003200,1968-12-31
-0.012500,-0.004200,0.016600,-0.015200,0.012900,0.00530,-0.001500,1969-01-31
-0.058600,-0.041600,0.008900,0.019900,0.007500,0.00460,-0.025500,1969-02-28
0.026700,-0.005100,-0.004200,-0.013400,-0.004400,0.00460,0.040600,1969-03-28
0.014700,-0.007800,0.000200,0.002800,-0.001600,0.00530,0.012400,1969-04-30
-0.001000,-0.001800,0.006200,-0.008700,0.010500,0.00480,0.018100,1969-05-29
-0.071800,-0.054700,-0.011000,0.042700,-0.016300,0.00510,-0.023100,1969-06-30
-0.070000,-0.033900,0.011800,0.015100,0.018400,0.00530,0.018200,1969-07-31
0.046900,0.005800,-0.037500,0.010600,-0.039800,0.00500,0.021400,1969-08-29
-0.029700,0.012900,-0.032200,0.033600,-0.006200,0.00620,0.024300,1969-09-30
0.050500,0.039100,-0.031200,0.000800,-0.020800,0.00600,-0.043600,1969-10-31
-0.038000,-0.024200,-0.012500,0.014000,0.002100,0.00520,0.036700,1969-11-28
-0.026300,-0.037200,-0.028800,0.025500,-0.019200,0.00640,0.052700,1969-12-31
-0.081100,0.030800,0.031700,-0.017500,0.039600,0.00600,0.005600,1970-01-30
0.051400,-0.025700,0.036900,-0.024100,0.028700,0.00620,0.002700,1970-02-27
-0.010600,-0.024200,0.040800,-0.010600,0.044200,0.00570,-0.003600,1970-03-31
-0.109900,-0.063400,0.061400,-0.006300,0.059000,0.00500,-0.008300,1970-04-30
-0.069100,-0.044600,0.033200,-0.012900,0.037900,0.00530,-0.026600,1970-05-29
-0.058000,-0.021000,0.004400,0.001400,0.027100,0.00580,0.056400,1970-06-30
0.069200,-0.006600,0.009300,-0.003000,0.017200,0.00520,-0.031200,1970-07-31
0.045000,0.014400,0.014100,0.005700,-0.001400,0.00530,-0.066800,1970-08-31
0.041800,0.085000,-0.054100,0.002500,-0.059800,0.00540,-0.086400,1970-09-30
-0.022800,-0.043600,0.002100,0.018100,0.022500,0.00460,0.094500,1970-10-30
0.046200,-0.038800,0.015800,0.015300,0.013900,0.00460,0.025900,1970-11-30
0.057400,0.028900,0.010400,0.002800,0.003000,0.00420,-0.023000,1970-12-31
0.048300,0.074400,0.015500,-0.020200,-0.000600,0.00380,-0.068600,1971-01-29
0.014100,0.020100,-0.012400,0.006400,-0.008000,0.00330,0.008200,1971-02-26
0.041200,0.022200,-0.039500,0.017800,-0.026500,0.00300,-0.014000,1971-03-31
0.031500,-0.003600,0.008600,-0.014600,0.008500,0.00280,0.013600,1971-04-30
-0.040000,-0.011200,-0.013300,0.014900,0.002000,0.00290,0.009300,1971-05-28
-0.000900,-0.015100,-0.019700,0.015800,-0.016700,0.00370,0.026900,1971-06-30
-0.044900,-0.014300,-0.000200,0.005800,0.013900,0.00400,-0.023200,1971-07-30
0.037900,-0.002300,0.026400,-0.004300,0.025900,0.00470,0.034400,1971-08-31
-0.008600,0.002600,-0.029000,0.025400,-0.015800,0.00370,0.021000,1971-09-30
-0.044200,-0.015900,-0.005100,0.015600,-0.013900,0.00370,0.005000,1971-10-29
-0.004600,-0.028600,-0.016700,0.024100,-0.004400,0.00370,0.015100,1971-11-30
0.087100,0.032400,-0.003800,-0.004300,-0.016800,0.00370,-0.006200,1971-12-31
0.024700,0.060900,0.021200,-0.016900,0.005400,0.00290,0.000700,1972-01-31
0.028700,0.008700,-0.028300,0.016900,-0.005000,0.00250,0.025300,1972-02-29
0.006200,-0.004700,-0.016100,0.015800,-0.002000,0.00270,0.029400,1972-03-30
0.002900,0.002700,0.000300,-0.004100,-0.010600,0.00290,0.027900,1972-04-28
0.012900,-0.031200,-0.027200,0.024000,-0.019700,0.00300,0.033300,1972-05-31
-0.024600,-0.004300,-0.024600,0.017800,-0.003500,0.00290,0.019000,1972-06-30
-0.008000,-0.027900,0.006000,0.012000,-0.007100,0.00310,0.026800,1972-07-31
0.032700,-0.034600,0.045600,-0.020400,0.029000,0.00290,-0.053600,1972-08-31
