model,alpha_ann,t_stat,p_value,stars,r_squared,n_obs,beta_MKTRF,beta_SMB,beta_HML,beta_RMW,beta_CMA,ml_model,strategy,factor_model,beta_UMD,beta_QMJ
logistic_Regime-Switching_FF5,0.006848851986227637,0.5659940340229769,0.5713978361433567,,0.9307044591852036,370,1.1360649261899347,0.6381887895595351,0.10176537791813633,0.24264092100282575,-0.17562085293663282,logistic,Regime-Switching,FF5,,
logistic_Regime-Switching_FF6,0.021351052567717917,1.8648443187959312,0.062203229112017,*,0.9443526465159157,370,1.0986092756480554,0.6420422633962849,-0.01196367289114695,0.26266399476795044,-0.08910563140062426,logistic,Regime-Switching,FF6,-0.1621104588472245,
logistic_Regime-Switching_FF7,0.018044595106064425,1.4163100391430035,0.15668474981442215,,0.9452073865528654,370,1.102292776164622,0.657907907791445,-0.01014397546495715,0.1894784050401237,-0.07447408569108592,logistic,Regime-Switching,FF7,-0.19040880589290607,0.11261154545749566
logistic_Buy&Hold Offensive_FF5,0.013808696162364806,1.0387518339911073,0.29892016750049777,,0.9382531608127459,370,1.1520299238765546,0.6712256177512499,0.013457926875519336,0.12894658590124572,-0.1430355515589649,logistic,Buy&Hold Offensive,FF5,,
logistic_Buy&Hold Offensive_FF6,0.02825884480434901,1.9365116104630498,0.052805071936682504,*,0.9508894283991313,370,1.114708710811609,0.6750652605293329,-0.09986292259635021,0.14889779196474187,-0.056830854281150214,logistic,Buy&Hold Offensive,FF6,-0.16152860482101664,
logistic_Buy&Hold Offensive_FF7,0.025918108060983505,1.6575420693983598,0.0974099307902766,*,0.9512888948747789,370,1.1173163672243476,0.68629700847214,-0.09857470622681085,0.09708759904756206,-0.04647276044455041,logistic,Buy&Hold Offensive,FF7,-0.18156182208587116,0.0797209657878353
logistic_Buy&Hold Defensive_FF5,0.005365493353083336,0.4967202882709558,0.6193863134023374,,0.9369470378713592,370,1.073852250272925,0.6190547070133271,0.08905971741789434,0.2803782445411333,-0.03751073576744824,logistic,Buy&Hold Defensive,FF5,,
logistic_Buy&Hold Defensive_FF6,0.017220260129309533,1.5537335257879892,0.12024799257316363,,0.9475596942547801,370,1.0432342761847346,0.6222047140316594,-0.003907647462332659,0.2967460273679476,0.033210791502831724,logistic,Buy&Hold Defensive,FF6,-0.1325165564234249,
logistic_Buy&Hold Defensive_FF7,0.015689544972895052,1.3068358544441956,0.19126846525174046,,0.9477728651195731,370,1.0449395423600143,0.6295496693572871,-0.0030652236711123547,0.2628649650144671,0.03998442432257504,logistic,Buy&Hold Defensive,FF7,-0.14561719637619164,0.05213319736243772
logistic_Static 60/40_FF5,0.010431416788128874,0.8820241265579856,0.3777637603869477,,0.9426546706763183,370,1.1207588891731655,0.6503572733080463,0.04369864312701327,0.18951925749039022,-0.10082563011296411,logistic,Static 60/40,FF5,,
logistic_Static 60/40_FF6,0.023843413293659736,1.8650539863693314,0.06217383735464027,*,0.954613264041662,370,1.086118970123828,0.6539210619442761,-0.06148081729075919,0.20803709510122853,-0.020814197200005397,logistic,Static 60/40,FF6,-0.14992379227908595,
logistic_Static 60/40_FF7,0.02182668509557271,1.5843254520047778,0.11311967669892033,,0.9549390174623071,370,1.0883656705412912,0.6635980932696757,-0.060370917903290425,0.16339855242848048,-0.011889887374089464,logistic,Static 60/40,FF7,-0.16718397938510843,0.06868586146593852
random_forest_Regime-Switching_FF5,0.01601585907837227,1.2226986804575004,0.2214435255660714,,0.9376426422052782,370,1.1387200590449444,0.6669468396431238,-0.0014505208170648401,0.16269302453086038,-0.07852902840793996,random_forest,Regime-Switching,FF5,,
random_forest_Regime-Switching_FF6,0.029008552642770427,2.037479416736723,0.04160202255796282,**,0.9482986046090777,370,1.1051630973265305,0.6703992125735616,-0.10334172679175513,0.18063193388366938,-0.0010190149615617048,random_forest,Regime-Switching,FF6,-0.14523668346404442,
random_forest_Regime-Switching_FF7,0.025998405495423635,1.6994541602262827,0.08923364461678812,*,0.9489876863598631,370,1.1085164985726628,0.6848430470310665,-0.10168510272203568,0.1140049179002491,0.012301315358614794,random_forest,Regime-Switching,FF7,-0.17099905591917977,0.10251978930575517
random_forest_Buy&Hold Offensive_FF5,0.013808696162364806,1.0387518339911073,0.29892016750049777,,0.9382531608127459,370,1.1520299238765546,0.6712256177512499,0.013457926875519336,0.12894658590124572,-0.1430355515589649,random_forest,Buy&Hold Offensive,FF5,,
random_forest_Buy&Hold Offensive_FF6,0.02825884480434901,1.9365116104630498,0.052805071936682504,*,0.9508894283991313,370,1.114708710811609,0.6750652605293329,-0.09986292259635021,0.14889779196474187,-0.056830854281150214,random_forest,Buy&Hold Offensive,FF6,-0.16152860482101664,
random_forest_Buy&Hold Offensive_FF7,0.025918108060983505,1.6575420693983598,0.0974099307902766,*,0.9512888948747789,370,1.1173163672243476,0.68629700847214,-0.09857470622681085,0.09708759904756206,-0.04647276044455041,random_forest,Buy&Hold Offensive,FF7,-0.18156182208587116,0.0797209657878353
random_forest_Buy&Hold Defensive_FF5,0.005365493353083336,0.4967202882709558,0.6193863134023374,,0.9369470378713592,370,1.073852250272925,0.6190547070133271,0.08905971741789434,0.2803782445411333,-0.03751073576744824,random_forest,Buy&Hold Defensive,FF5,,
random_forest_Buy&Hold Defensive_FF6,0.017220260129309533,1.5537335257879892,0.12024799257316363,,0.9475596942547801,370,1.0432342761847346,0.6222047140316594,-0.003907647462332659,0.2967460273679476,0.033210791502831724,random_forest,Buy&Hold Defensive,FF6,-0.1325165564234249,
random_forest_Buy&Hold Defensive_FF7,0.015689544972895052,1.3068358544441956,0.19126846525174046,,0.9477728651195731,370,1.0449395423600143,0.6295496693572871,-0.0030652236711123547,0.2628649650144671,0.03998442432257504,random_forest,Buy&Hold Defensive,FF7,-0.14561719637619164,0.05213319736243772
random_forest_Static 60/40_FF5,0.010431416788128874,0.8820241265579856,0.3777637603869477,,0.9426546706763183,370,1.1207588891731655,0.6503572733080463,0.04369864312701327,0.18951925749039022,-0.10082563011296411,random_forest,Static 60/40,FF5,,
random_forest_Static 60/40_FF6,0.023843413293659736,1.8650539863693314,0.06217383735464027,*,0.954613264041662,370,1.086118970123828,0.6539210619442761,-0.06148081729075919,0.20803709510122853,-0.020814197200005397,random_forest,Static 60/40,FF6,-0.14992379227908595,
random_forest_Static 60/40_FF7,0.02182668509557271,1.5843254520047778,0.11311967669892033,,0.9549390174623071,370,1.0883656705412912,0.6635980932696757,-0.060370917903290425,0.16339855242848048,-0.011889887374089464,random_forest,Static 60/40,FF7,-0.16718397938510843,0.06868586146593852
xgboost_Regime-Switching_FF5,0.013299240659801047,0.9589524884253524,0.3375826807255071,,0.9346848489729415,370,1.1390662060316454,0.6564683856907781,0.010661148415573531,0.12632621475162967,-0.12525806703447648,xgboost,Regime-Switching,FF5,,
xgboost_Regime-Switching_FF6,0.027790221975230324,1.8399302088900444,0.06577848426209605,*,0.9477242302336729,370,1.1016395321203507,0.6603188783835291,-0.10297991874786759,0.1463337981647441,-0.03880977584350667,xgboost,Regime-Switching,FF6,-0.1619850461307987,
xgboost_Regime-Switching_FF7,0.024572504793892537,1.4993805128189488,0.1337749460873724,,0.9484987957138187,370,1.1052241730954975,0.6757587130571528,-0.10120905922797575,0.07511239815441768,-0.024570918527143607,xgboost,Regime-Switching,FF7,-0.18952390865915797,0.10958922316041482
xgboost_Buy&Hold Offensive_FF5,0.013808696162364806,1.0387518339911073,0.29892016750049777,,0.9382531608127459,370,1.1520299238765546,0.6712256177512499,0.013457926875519336,0.12894658590124572,-0.1430355515589649,xgboost,Buy&Hold Offensive,FF5,,
xgboost_Buy&Hold Offensive_FF6,0.02825884480434901,1.9365116104630498,0.052805071936682504,*,0.9508894283991313,370,1.114708710811609,0.6750652605293329,-0.09986292259635021,0.14889779196474187,-0.056830854281150214,xgboost,Buy&Hold Offensive,FF6,-0.16152860482101664,
xgboost_Buy&Hold Offensive_FF7,0.025918108060983505,1.6575420693983598,0.0974099307902766,*,0.9512888948747789,370,1.1173163672243476,0.68629700847214,-0.09857470622681085,0.09708759904756206,-0.04647276044455041,xgboost,Buy&Hold Offensive,FF7,-0.18156182208587116,0.0797209657878353
xgboost_Buy&Hold Defensive_FF5,0.005365493353083336,0.4967202882709558,0.6193863134023374,,0.9369470378713592,370,1.073852250272925,0.6190547070133271,0.08905971741789434,0.2803782445411333,-0.03751073576744824,xgboost,Buy&Hold Defensive,FF5,,
xgboost_Buy&Hold Defensive_FF6,0.017220260129309533,1.5537335257879892,0.12024799257316363,,0.9475596942547801,370,1.0432342761847346,0.6222047140316594,-0.003907647462332659,0.2967460273679476,0.033210791502831724,xgboost,Buy&Hold Defensive,FF6,-0.1325165564234249,
xgboost_Buy&Hold Defensive_FF7,0.015689544972895052,1.3068358544441956,0.19126846525174046,,0.9477728651195731,370,1.0449395423600143,0.6295496693572871,-0.0030652236711123547,0.2628649650144671,0.03998442432257504,xgboost,Buy&Hold Defensive,FF7,-0.14561719637619164,0.05213319736243772
