model,alpha_ann,t_stat,p_value,stars,r_squared,n_obs,beta_MKTRF,beta_SMB,beta_HML,beta_RMW,beta_CMA,ml_model,strategy,factor_model,beta_UMD,beta_QMJ
logistic_Regime-Switching_FF5_NET,0.0008798038857147201,0.07248198360678644,0.9422183427522569,,0.9309307770078195,370,1.1348274445001825,0.6360216580154003,0.10352960021123651,0.24148982735068217,-0.1803043301979901,logistic,Regime-Switching,FF5,,
logistic_Regime-Switching_FF6_NET,0.015436952987525576,1.3487647311826076,0.17741254638549675,,0.9447120135742519,370,1.0972298753188967,0.6398897325801037,-0.010630367480234286,0.26158876810368104,-0.09346130438276909,logistic,Regime-Switching,FF6,-0.16272469182463295,
logistic_Regime-Switching_FF7_NET,0.012321457402070628,0.9683710868000297,0.3328590739829326,,0.9454724988603319,370,1.1007006381312041,0.6548390690366503,-0.008915765262027316,0.1926299551262642,-0.07967479220315961,logistic,Regime-Switching,FF7,-0.18938868987056556,0.10610775333205637
logistic_Buy&Hold Offensive_FF5_NET,0.007944972439592064,0.5940261111905227,0.5524946488826132,,0.9383093837810206,370,1.1512008269616743,0.6684443665160488,0.01509218796068462,0.1268038411736494,-0.14725935861743503,logistic,Buy&Hold Offensive,FF5,,
logistic_Buy&Hold Offensive_FF6_NET,0.022443535586687473,1.5374480654730347,0.12418362365474975,,0.9510488449058274,370,1.1137545710265515,0.6722968738264982,-0.09860833738732243,0.1468218927618436,-0.060765836784221615,logistic,Buy&Hold Offensive,FF6,-0.16206979838638869,
logistic_Buy&Hold Offensive_FF7_NET,0.02028353971782229,1.299822945494382,0.19366165931787416,,0.9513894945802126,370,1.1161608762613873,0.6826613580964013,-0.09741959113283814,0.0990122435206816,-0.051207547087703795,logistic,Buy&Hold Offensive,FF7,-0.1805561431899243,0.07356528120973736
logistic_Buy&Hold Defensive_FF5_NET,-0.0007088791251697822,-0.06561586072419767,0.9476836612949929,,0.9371872597979363,370,1.0722063838083007,0.6175016951602587,0.09095390091892949,0.28021880196444243,-0.042653883231692634,logistic,Buy&Hold Defensive,FF5,,
logistic_Buy&Hold Defensive_FF6_NET,0.011207370186586385,1.0119437355120715,0.3115649561792889,,0.9479409100812939,370,1.0414296153114755,0.6206680391021323,-0.0024956218495350113,0.2966714732423068,0.028434428041613568,logistic,Buy&Hold Defensive,FF6,-0.1332038288128697,
logistic_Buy&Hold Defensive_FF7_NET,0.009877837908068685,0.824573056209763,0.40961402350508924,,0.9481021882287637,370,1.0429107572561391,0.6270476422234367,-0.0017639183592255314,0.26724342071362844,0.03431779794158111,logistic,Buy&Hold Defensive,FF7,-0.14458264322745729,0.045281297689656996
logistic_Static 60/40_FF5_NET,0.0044623686876159524,0.3747237667098487,0.7078659148047628,,0.9427221627255922,370,1.119521407483413,0.6481901417639114,0.04546286542011348,0.18836816383824656,-0.10550910737432136,logistic,Static 60/40,FF5,,
