model,alpha_ann,t_stat,p_value,stars,r_squared,n_obs,beta_MKTRF,beta_SMB,beta_MGMT,beta_PERF,ml_model,strategy,factor_model,beta_R_MKT,beta_R_ME,beta_R_IA,beta_R_ROE,beta_R_EG
logistic_Regime-Switching_M4,0.02488204187048365,1.72360347381921,0.08477945099926895,*,0.9112475258785578,306,1.0887266343423483,0.5742556707889722,-0.1047487264809162,-0.0661092721694159,logistic,Regime-Switching,M4,,,,,
logistic_Regime-Switching_Q5,0.019931338587459498,1.1430310754670505,0.2530256890237862,,0.9044960245431082,306,,,,,logistic,Regime-Switching,Q5,1.1236815565883291,0.49869880560311747,-0.08994929112153753,-0.06791356017001947,0.08059418910662607
logistic_Buy&Hold Offensive_M4,0.0338816766629444,1.8233407556822794,0.06825179720652816,*,0.937207514603907,306,1.0742717330678007,0.6284641595348281,-0.24664237762643512,-0.0800664650885101,logistic,Buy&Hold Offensive,M4,,,,,
logistic_Buy&Hold Offensive_Q5,0.03150813799452365,1.4877437405438303,0.13681848753158732,,0.930574980648633,306,,,,,logistic,Buy&Hold Offensive,Q5,1.115206495418516,0.5459008162992797,-0.2601504642362228,-0.1363589578031031,0.0451383501985519
logistic_Buy&Hold Defensive_M4,0.019817190710405788,1.4091788230037148,0.15878229799612553,,0.9160971336599106,306,1.0282964632740907,0.5762672776307024,0.01491531498168539,-0.06283213747627803,logistic,Buy&Hold Defensive,M4,,,,,
logistic_Buy&Hold Defensive_Q5,0.024684524960982005,1.3920091497003013,0.16391962727897447,,0.9056676361906766,306,,,,,logistic,Buy&Hold Defensive,Q5,1.041879215163819,0.4758710700083606,0.07869135482819196,-0.012136182380007729,-0.0067075632878688335
logistic_Static 60/40_M4,0.02825588467978956,1.716116962923593,0.0861406371486756,*,0.9351052639662407,306,1.0558816576339958,0.6075854255633062,-0.14201930650799516,-0.07317273669116904,logistic,Static 60/40,M4,,,,,
logistic_Static 60/40_Q5,0.02877869455469666,1.4829882913294754,0.1380775216406733,,0.9266658618355491,306,,,,,logistic,Static 60/40,Q5,1.0858756178547084,0.5178889342847209,-0.12461374477289582,-0.08666985325482927,0.024399993812370725
random_forest_Regime-Switching_M4,0.03260170038290949,1.8267860536663738,0.06773194359175579,*,0.9353612243960695,306,1.0708203332664674,0.6453759096795125,-0.18394374726291887,-0.0651690307425813,random_forest,Regime-Switching,M4,,,,,
random_forest_Regime-Switching_Q5,0.030737518952781546,1.4662060707431113,0.14259215524864613,,0.9273755124854366,306,,,,,random_forest,Regime-Switching,Q5,1.1052845721919244,0.5540591261869882,-0.20690197247687137,-0.11664419744467647,0.08158883298389757
random_forest_Buy&Hold Offensive_M4,0.0338816766629444,1.8233407556822794,0.06825179720652816,*,0.937207514603907,306,1.0742717330678007,0.6284641595348281,-0.24664237762643512,-0.0800664650885101,random_forest,Buy&Hold Offensive,M4,,,,,
random_forest_Buy&Hold Offensive_Q5,0.03150813799452365,1.4877437405438303,0.13681848753158732,,0.930574980648633,306,,,,,random_forest,Buy&Hold Offensive,Q5,1.115206495418516,0.5459008162992797,-0.2601504642362228,-0.1363589578031031,0.0451383501985519
