model,alpha_ann,t_stat,p_value,stars,r_squared,n_obs,beta_MKTRF,beta_SMB,beta_MGMT,beta_PERF,ml_model,strategy,factor_model,beta_R_MKT,beta_R_ME,beta_R_IA,beta_R_ROE,beta_R_EG
logistic_Regime-Switching_M4_NET,0.018316834509986574,1.2720765446409847,0.20334592402609442,,0.9114659555071204,306,1.0862423162351023,0.5716497559675678,-0.10775017056807323,-0.06753329353628464,logistic,Regime-Switching,M4,,,,,
logistic_Regime-Switching_Q5_NET,0.013853139338804377,0.7960997047671245,0.42597408575866924,,0.9046102289629394,306,,,,,logistic,Regime-Switching,Q5,1.1207246252226406,0.49539591228935576,-0.0929893675463184,-0.06963455471676389,0.07398583135300513
logistic_Buy&Hold Offensive_M4_NET,0.02743020253235337,1.4826068312745082,0.13817890109907457,,0.937372037284444,306,1.0722706513007625,0.6252305194914173,-0.24958948535163714,-0.08181363108756923,logistic,Buy&Hold Offensive,M4,,,,,
logistic_Buy&Hold Offensive_Q5_NET,0.02556636669626878,1.2139370682251278,0.22477175648664816,,0.9308503960538379,306,,,,,logistic,Buy&Hold Offensive,Q5,1.1126920626133634,0.5421533414065263,-0.26294852486330555,-0.13832710719698763,0.0379608818722214
logistic_Buy&Hold Defensive_M4_NET,0.013138250120002649,0.9322239200235919,0.35122081610480116,,0.9161971186918996,306,1.0253289088266369,0.5742890880313041,0.011859534532573329,-0.06393301421095642,logistic,Buy&Hold Defensive,M4,,,,,
logistic_Buy&Hold Defensive_Q5_NET,0.018469897761926625,1.0468883399541444,0.29515108023789227,,0.9056005096562736,306,,,,,logistic,Buy&Hold Defensive,Q5,1.0384797852375938,0.4730127582735907,0.07540926260571308,-0.013610022079612028,-0.01274681046878007
logistic_Static 60/40_M4_NET,0.021690677319292462,1.3189634777292154,0.18718132270278265,,0.9352218189770963,306,1.0533973395267497,0.6049795107419011,-0.14502075059515226,-0.07459675805803785,logistic,Static 60/40,M4,,,,,
logistic_Static 60/40_Q5_NET,0.022700495306041527,1.1751973230382669,0.23991578098267363,,0.9267727251448373,306,,,,,logistic,Static 60/40,Q5,1.082918686489019,0.5145860409709592,-0.12765382119767676,-0.08839084780157361,0.017791636058749696
random_forest_Regime-Switching_M4_NET,0.0260364930224124,1.460758383554048,0.1440817604126814,,0.9352373041770933,306,1.0683360151592214,0.6427699948581079,-0.18694519135007606,-0.06659305210945005,random_forest,Regime-Switching,M4,,,,,
random_forest_Regime-Switching_Q5_NET,0.024659319704126423,1.1805074943370892,0.23779843152951918,,0.9272435775918861,306,,,,,random_forest,Regime-Switching,Q5,1.1023276408262357,0.5507562328732264,-0.20994204890165227,-0.11836519199142093,0.07498047523027661
random_forest_Buy&Hold Offensive_M4_NET,0.02743020253235337,1.4826068312745082,0.13817890109907457,,0.937372037284444,306,1.0722706513007625,0.6252305194914173,-0.24958948535163714,-0.08181363108756923,random_forest,Buy&Hold Offensive,M4,,,,,
random_forest_Buy&Hold Offensive_Q5_NET,0.02556636669626878,1.2139370682251278,0.22477175648664816,,0.9308503960538379,306,,,,,random_forest,Buy&Hold Offensive,Q5,1.1126920626133634,0.5421533414065263,-0.26294852486330555,-0.13832710719698763,0.0379608818722214
random_forest_Buy&Hold Defensive_M4_NET,0.013138250120002649,0.9322239200235919,0.35122081610480116,,0.9161971186918996,306,1.0253289088266369,0.5742890880313041,0.011859534532573329,-0.06393301421095642,random_forest,Buy&Hold Defensive,M4,,,,,
