Feature,Coefficient,Abs_Coefficient,Rank
max_drawdown_12m,-2.2788095133914035,2.2788095133914035,1
momentum_12m,1.5539309697831798,1.5539309697831798,2
beta_dispersion,-0.8404273652977003,0.8404273652977003,3
mom_x_beta_range,-0.793612201110542,0.793612201110542,4
beta_mean,-0.7684153955752565,0.7684153955752565,5
dispersion_12m,0.7349358853923446,0.7349358853923446,6
momentum_sharpe,0.5971230012916525,0.5971230012916525,7
top_bottom_spread,-0.5591453031057654,0.5591453031057654,8
momentum_trend_6m,0.4088695436633241,0.4088695436633241,9
mom_x_disp,0.4024936261976604,0.4024936261976604,10
skewness_cs,0.34656163568733456,0.34656163568733456,11
beta_skewness,-0.34331065030953023,0.34331065030953023,12
vol_of_vol_6m,0.3120063952427044,0.3120063952427044,13
avg_vol_3m,0.3045480757060985,0.3045480757060985,14
median_return,0.2892805399317583,0.2892805399317583,15
upside_vol_6m,-0.2667913752256723,0.2667913752256723,16
kurtosis_cs,-0.2616924084447901,0.2616924084447901,17
pct_positive_3m,-0.25554499751447457,0.25554499751447457,18
momentum_3m,0.20157921209675533,0.20157921209675533,19
downside_x_beta,-0.1899410685334233,0.1899410685334233,20
beta_range_x_disp,0.16936958091500204,0.16936958091500204,21
concentration_hhi,0.16850108248724474,0.16850108248724474,22
beta_momentum_6m,-0.154987632068826,0.154987632068826,23
beta_trend_12m,0.1532326338659514,0.1532326338659514,24
dispersion_5m,-0.15094792417064315,0.15094792417064315,25
momentum_6m_median,-0.1479773133216911,0.1479773133216911,26
vol_asymmetry_6m,0.14514873909529563,0.14514873909529563,27
beta_momentum_3m,-0.141887077657284,0.141887077657284,28
beta_vol_ratio,0.13385308442591595,0.13385308442591595,29
tail_ratio,0.07756859813675629,0.07756859813675629,30
momentum_3m_median,-0.06572184932759025,0.06572184932759025,31
pct_positive,-0.05674102553952219,0.05674102553952219,32
momentum_6m,-0.049129457104956885,0.049129457104956885,33
downside_vol_6m,-0.037659702410623344,0.037659702410623344,34
beta_range,0.03479008685580757,0.03479008685580757,35
