feature,importance,importance_pct,cumulative_importance
mom_x_beta_range,0.10584826,10.584825,0.10584826
vol_of_vol_6m,0.090535685,9.053568,0.19638395
momentum_12m,0.062076256,6.207625,0.25846022
max_drawdown_12m,0.05576161,5.57616,0.31422183
beta_mean,0.04720454,4.7204533,0.36142635
momentum_6m,0.046119466,4.611946,0.4075458
beta_trend_12m,0.044693697,4.4693694,0.4522395
beta_skewness,0.043865424,4.386542,0.49610493
dispersion_12m,0.04001936,4.0019355,0.5361243
beta_range_x_disp,0.032636408,3.2636404,0.5687607
beta_dispersion,0.032383576,3.2383573,0.60114425
mom_x_disp,0.031953186,3.1953182,0.6330974
downside_vol_6m,0.027828064,2.782806,0.66092545
beta_range,0.027167078,2.7167075,0.6880925
momentum_trend_6m,0.026287433,2.628743,0.71437997
upside_vol_6m,0.02154326,2.154326,0.73592323
momentum_6m_median,0.020611001,2.0611,0.7565342
avg_vol_3m,0.018936684,1.8936683,0.7754709
beta_momentum_6m,0.018924039,1.8924037,0.79439497
downside_x_beta,0.017989814,1.7989812,0.8123848
pct_positive,0.017296877,1.7296875,0.82968163
dispersion_5m,0.01710615,1.7106148,0.8467878
median_return,0.016907856,1.6907854,0.8636957
beta_vol_ratio,0.014937209,1.4937208,0.8786329
momentum_sharpe,0.014198125,1.4198123,0.892831
tail_ratio,0.013528264,1.3528262,0.9063593
concentration_hhi,0.012465191,1.246519,0.9188245
beta_momentum_3m,0.0124357585,1.2435757,0.9312602
vol_asymmetry_6m,0.012022273,1.2022271,0.9432825
top_bottom_spread,0.0112906005,1.1290599,0.9545731
momentum_3m,0.01110255,1.1102549,0.96567565
momentum_3m_median,0.0095234765,0.9523476,0.9751991
skewness_cs,0.008972323,0.8972322,0.98417145
pct_positive_3m,0.008385075,0.8385074,0.9925565
kurtosis_cs,0.007443539,0.7443538,1.0
