strategy_gross,sharpe_gross,cagr_gross,max_dd_gross,calmar_gross,sortino_gross,volatility_gross,mean_ret_gross,n_obs_gross,model,strategy_name,type_gross,strategy_net,sharpe_net,cagr_net,max_dd_net,calmar_net,sortino_net,volatility_net,mean_ret_net,n_obs_net,type_net,sharpe_diff,cagr_diff_bps,cost_drag_pct
logistic_Regime-Switching_GROSS,0.7736756265235017,0.1422948369096102,-0.47189498445553013,0.30153920172258075,1.0947894838740817,0.19881577371012588,0.15381891828793637,521,logistic,Regime-Switching,GROSS,logistic_Regime-Switching_NET,0.7735085011139491,0.14225752596248364,-0.47192268695053063,0.30144243939981596,1.0945889097661754,0.19881613104545895,0.15378596752224746,521,NET,0.00016712540955265975,0.3731094712655647,0.026220872054730605
logistic_Buy&Hold Offensive_GROSS,0.7488688416084313,0.1428327766700166,-0.4718949844555305,0.3026791582343605,1.0925773982178721,0.20864973126597453,0.15625128255506085,521,logistic,Buy&Hold Offensive,GROSS,logistic_Buy&Hold Offensive_NET,0.7486983024401219,0.14279313544443206,-0.47191922630062605,0.30257960999764133,1.0923710541904168,0.2086506840665268,0.1562164129635788,521,NET,0.00017053916830933602,0.39641225584530204,0.02775359165362475
logistic_Buy&Hold Defensive_GROSS,0.8767599527209573,0.1469839842037446,-0.45338842808810476,0.32418997728627935,1.221987005878487,0.17496762134928992,0.15340460342190182,521,logistic,Buy&Hold Defensive,GROSS,logistic_Buy&Hold Defensive_NET,0.8765848210520631,0.14694887109733012,-0.4534207568405276,0.32408942219866976,1.2217487080774396,0.1749671769332367,0.153373571482006,521,NET,0.00017513166889415732,0.35113106414463857,0.023889069686525283
logistic_Static 60/40_GROSS,0.7977282872275382,0.1448067919421534,-0.46432640911941864,0.31186421684860705,1.147079450229897,0.19444291319957752,0.15511261211023186,521,logistic,Static 60/40,GROSS,logistic_Static 60/40_NET,0.7975574797687364,0.14476941039170144,-0.4643545342904389,0.31176482558293017,1.1468708933162228,0.19444324111850922,0.15507966134454296,521,NET,0.0001708074588018249,0.37381550451964785,0.025814777021576276
logistic_Market_GROSS,0.7538662089982046,0.14717117252045386,-0.5458268382999949,0.26962978401506577,1.147644781893296,0.21345998395433907,0.1609202688764752,521,logistic,Market,GROSS,logistic_Market_NET,0.7537107933505341,0.14713372186305174,-0.5458624590957952,0.26954358082578955,1.1474197485115953,0.21346028149017252,0.16088731811078627,521,NET,0.00015541564767040938,0.37450657402127163,0.025447006204236275
random_forest_Regime-Switching_GROSS,0.7773889063449594,0.14630596727412248,-0.4718949844555303,0.31003925045511865,1.1257474609822558,0.20359518421432773,0.1582726375934768,521,random_forest,Regime-Switching,GROSS,random_forest_Regime-Switching_NET,0.7772254668828869,0.14626851844995414,-0.47192268695053063,0.30994169700785495,1.125544085924192,0.20359560201033863,0.15823968682778788,521,NET,0.00016343946207253435,0.37448824168340167,0.025596238394142268
random_forest_Buy&Hold Offensive_GROSS,0.7488688416084313,0.1428327766700166,-0.4718949844555305,0.3026791582343605,1.0925773982178721,0.20864973126597453,0.15625128255506085,521,random_forest,Buy&Hold Offensive,GROSS,random_forest_Buy&Hold Offensive_NET,0.7486983024401219,0.14279313544443206,-0.47191922630062605,0.30257960999764133,1.0923710541904168,0.2086506840665268,0.1562164129635788,521,NET,0.00017053916830933602,0.39641225584530204,0.02775359165362475
random_forest_Buy&Hold Defensive_GROSS,0.8767599527209573,0.1469839842037446,-0.45338842808810476,0.32418997728627935,1.221987005878487,0.17496762134928992,0.15340460342190182,521,random_forest,Buy&Hold Defensive,GROSS,random_forest_Buy&Hold Defensive_NET,0.8765848210520631,0.14694887109733012,-0.4534207568405276,0.32408942219866976,1.2217487080774396,0.1749671769332367,0.153373571482006,521,NET,0.00017513166889415732,0.35113106414463857,0.023889069686525283
random_forest_Static 60/40_GROSS,0.7977282872275382,0.1448067919421534,-0.46432640911941864,0.31186421684860705,1.147079450229897,0.19444291319957752,0.15511261211023186,521,random_forest,Static 60/40,GROSS,random_forest_Static 60/40_NET,0.7975574797687364,0.14476941039170144,-0.4643545342904389,0.31176482558293017,1.1468708933162228,0.19444324111850922,0.15507966134454296,521,NET,0.0001708074588018249,0.37381550451964785,0.025814777021576276
random_forest_Market_GROSS,0.7538662089982046,0.14717117252045386,-0.5458268382999949,0.26962978401506577,1.147644781893296,0.21345998395433907,0.1609202688764752,521,random_forest,Market,GROSS,random_forest_Market_NET,0.7537107933505341,0.14713372186305174,-0.5458624590957952,0.26954358082578955,1.1474197485115953,0.21346028149017252,0.16088731811078627,521,NET,0.00015541564767040938,0.37450657402127163,0.025447006204236275
